table,row_locator,source_logical_locator,ownership,action,confidence,physical_locator_used,permission_name,permission_policy_basis
audit_log,"{""id"": 176}","{""id"": 176}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 177}","{""id"": 177}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 178}","{""id"": 178}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 179}","{""id"": 179}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 180}","{""id"": 180}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 181}","{""id"": 181}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 182}","{""id"": 182}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 183}","{""id"": 183}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 184}","{""id"": 184}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 185}","{""id"": 185}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 186}","{""id"": 186}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 187}","{""id"": 187}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 188}","{""id"": 188}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 189}","{""id"": 189}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 190}","{""id"": 190}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 191}","{""id"": 191}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 192}","{""id"": 192}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 193}","{""id"": 193}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 194}","{""id"": 194}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 195}","{""id"": 195}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 196}","{""id"": 196}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 197}","{""id"": 197}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 198}","{""id"": 198}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 199}","{""id"": 199}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 200}","{""id"": 200}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 201}","{""id"": 201}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 202}","{""id"": 202}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 203}","{""id"": 203}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 204}","{""id"": 204}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 205}","{""id"": 205}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 206}","{""id"": 206}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 207}","{""id"": 207}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 208}","{""id"": 208}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 209}","{""id"": 209}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 210}","{""id"": 210}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 211}","{""id"": 211}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 212}","{""id"": 212}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 213}","{""id"": 213}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 214}","{""id"": 214}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 215}","{""id"": 215}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 216}","{""id"": 216}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 217}","{""id"": 217}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 218}","{""id"": 218}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 219}","{""id"": 219}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 220}","{""id"": 220}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 221}","{""id"": 221}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 222}","{""id"": 222}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 223}","{""id"": 223}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 224}","{""id"": 224}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 225}","{""id"": 225}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 226}","{""id"": 226}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 227}","{""id"": 227}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 228}","{""id"": 228}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 229}","{""id"": 229}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 230}","{""id"": 230}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 231}","{""id"": 231}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 232}","{""id"": 232}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 233}","{""id"": 233}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 234}","{""id"": 234}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
